 Abstract,Authors,DOI,Database,Descriptor(s),Entry Date,Fulltext URL,ID,ISSN,Issue number,Journal,Language,Publication Country,Publication year,Source,Title,Type,Unnamed: 18,Unnamed: 19,Volume number
"Background: The role that CD4+ and CD8+ T cells play in the protection from and disease severity of COVID-19 is not completely understood. A better understanding of T cell function and the epitopes that they target will be invaluable in the development of the next generation of vaccines and therapeutics. To better understand the role of T cells, we characterized the frequency, effector functions and phenotype of SARS-CoV-2-specific CD4+ and CD8+ T cells in a cohort of patients who recovered from COVID-19, and identified multiple peptides that contain T cell epitopes within the Spike protein (S), Nucleocapsid protein (N) and Membrane protein (M). Methods: The frequency and phenotype of SARS-CoV-2-specific T cells from convalescent patients with mild or moderate disease (n=27, 25 to 92 days post-symptom onset) were determined by polychromatic flow cytometry and intracellular cytokine staining (ICS). Cells were stimulated for 6 hours with peptide pools corresponding to S, N and M. Cytokine production, memory phenotype, chemokine receptor expression and PD-1 expression were analyzed. For a subset of individuals (n = 19 for S;n=14 for N and M), IFNg ELISpot assays and peptide matrices were utilized to identify peptides that contain T cell epitopes. Results: CD4+ T cell responses to S, N and/or M were detected in almost all donors by ICS and were predominantly a Th1-type response as determined by cytokine production (IFNg, IL-2 or TNF) and expression of CXCR3. A majority of the antigen-specific CD4+ cells were found in the effector memory compartment. Although less robust than the CD4+ T cell response, antigenspecific CD8+ T cells were detected in a majority of donors, were found within the effector memory compartments and displayed modest PD-1 upregulation. Multiple peptides that contain T cell epitopes were identified by IFNg ELISpot (Figure 1). Some of the most commonly identified peptides include S42 (amino acids 165-179;7/19 donors), S205 (a.a. 817-831;10/19 donors), N83 (a.a. 329-343;7/14 donors), M37 (a.a. 145-159;8/14 donors) and M45 (a.a. 177-191;10/14 donors). Conclusion: These data suggest that T cells that target S, N and M play an important role in the immune response to SARS-CoV-2 and should be considered in future vaccine development. Further studies such as transcriptomic analysis and the TCR usage in longitudinal samples will provide a better understanding of epitope-specific T cells and their longevity.","Boswell, K. L.; Swanson, P. A.; Padilla, G.; McDermott, A.; Gaudinski, M. R.; Koup, R. A.",,EMBASE,,20210608.0,,covidwho-1249971,,1,Topics in Antiviral Medicine,en,,2021.0,"Topics in Antiviral Medicine; 29(1):31, 2021.",Characterization and epitope mapping of SARS-CoV-2-specific t cells,article,,,29
"Background: There is an urgent need to understand the nature of immune responses mounted against SARS-CoV-2, in order to better inform riskmitigation and vaccine strategies for people living with HIV (PLWH). Although not all PLWH are considered immunosuppressed, residual cellular immunodeficiency could influence COVID-19 disease severity and the evolution and durability of protective immunity. Information on the breadth, magnitude and longevity of SARS-CoV-2 specific responses in PLWH recovering from COVID-19 disease is currently lacking. In this study, we performed an integrated cross-sectional analysis of different branches of adaptive immunity to SARS-CoV-2 in PLWH and HIV negative donors in the convalescent phase of predominately mild COVID-19 disease. Methods: A total of n=47 HIV positive, controlled on ART, and n=35 HIV negative subjects were recruited at a median of 158 and 146 days post symptom onset respectively. SARS-CoV-2 antibodies against Spike (S1) and Nucleoprotein (N) were measured in serum by a Semiquantitative ELISA. A serum neutralisation assay with pseudotyped SARS-CoV-2 was performed to calculate the 50% inhibitory serum dilution (ID50). SARS-CoV-2 specific memory T cell responses were determined by IFN-¦Ã ELISpot and intracellular cytokine production assays using peptide pools against SARS-CoV-2 structural and accessory proteins (Spike, Membrane, Nucleocapsid, Envelope, and ORF3a,6,7,8). Results: The majority of PLWH had detectable SARS-CoV-2 S-and N-specific antibodies with neutralizing activity at levels comparable to HIV negative subjects (p= 0.5753). Although, the overall magnitude of SARS-CoV-2 specific T cell responses measured by ELISpot was not significantly different between the groups (p=0.4642), this correlated with the size of the na?ve CD4 T cell pool (r=0.5518, p=0.0143) and the CD4:CD8 ratio in PLWH (r= 0.3820, p=0.037). In both groups, SARS-CoV-2 specific CD4 T cells were more abundant compared to CD8 T cells (HIV-p= 0.002, HIV+ p=0.0019). Both humoral and cellular responses were detected between 5-7 months post infection, providing evidence of medium-term durability of responses irrespective of HIV serostatus. Conclusion: The majority of PLWH mount a functional adaptive immune response to SARS-CoV-2. Incomplete immune reconstitution on ART and persistent alterations in the T cell compartment could, however, impact the development of protective immunity to SARS-CoV-2. These findings have implications for the risk stratification and management of PLWH.","Alrubayyi, A. S.; Gea-Mallorqui, E.; Touizer, E.; HameiriBowen, D.; Kopycinski, J.; Charlton, B.; Fisher-Pearson, N.; Pellegrino, P.; Waters, L.; Fiona, B.; Kinloch-de Loes, S.; Dorrell, L.; Rowland-Jones, S.; McCoy, L. E.; Peppa, D.",,EMBASE,,20210608.0,,covidwho-1249824,,1,Topics in Antiviral Medicine,en,,2021.0,"Topics in Antiviral Medicine; 29(1):89, 2021.",Characterization of SARS-CoV-2-specific responses in people living with HIV,article,,,29
"OBJECTIVES: To explore rates and factors associated with mandatory vaccination support overall and intentions to get vaccinated specifically for COVID-19 among individuals in Greece. METHODS: Using data from a nationally representative cross-sectional survey conducted in October 2020 among 855 adults (&amp;#8805;18 years) in Greece, we estimated support rates for mandatory vaccination and respondents&#039; intention to get vaccinated for COVID-19 as well as associations thereof with individual sociodemographic, clinical and contextual characteristics. RESULTS: About 74% of respondents supported mandatory vaccination and 62% intended to get vaccinated for COVID-19. The most prevalent reasons against COVID-19 vaccination were safety concerns related to the duration of clinical trials and potential side effects. Individuals who reported increased trust in healthcare authorities&#039; recommendations, who revealed that their trust in the State increased due to the way the COVID-19 pandemic was handled, who used preventive services more often, and those with higher income were more likely to both support mandatory vaccination and to indicate intention to get vaccinated for COVID-19. Participants with worse or better self-reported health status (compared to average), younger adults, and females were less likely to intend to get vaccinated for COVID-19. CONCLUSION: The survey revealed that the majority of the Greek citizens favour mandatory vaccination overall and intend to get vaccinated for COVID-19, driven mostly by utilization of preventive services and trust in healthcare authorities. However, intention to get vaccinated for COVID-19 was lower relative to mandatory vaccination support. This suggests a need to intensify evidence-based yet simplified messaging by esteemed healthcare providers to inform the public on the risks and benefits of vaccines.","Giannouchos, Theodoros V; Steletou, Evaggelia; Saridi, Maria; Souliotis, Kyriakos",,MEDLINE,,20210607.0,https://dx.doi.org/10.1111/jep.13588,covidwho-1249434,1365-2753,,J. eval. clin. pract. (Print),en,GB,2021.0,J Eval Clin Pract;2021 Jun 01. ,Mandatory vaccination support and intentions to get vaccinated for COVID-19: Results from a nationally representative general population survey in October 2020 in Greece.,article,,,
,"Pezzati, Laura; Giacomelli, Andrea; Mileto, Davide; Conti, Federico; Gagliardi, Gloria; Rizzo, Alberto; Milazzo, Laura; Schiuma, Marco; Covizzi, Alice; Siano, Matteo; Bassoli, Cinzia; Passerini, Matteo; Piscaglia, Marco; Torre, Alessandro; Oreni, Letizia; Rizzardini, Giuliano; Galli, Massimo; Ridolfo, Anna Lisa; Antinori, Spinello",,MEDLINE,,20210607.0,https://dx.doi.org/10.1016/j.jinf.2021.05.029,covidwho-1248974,1532-2742,,J. infect,en,GB,2021.0,J Infect;2021 May 29. ,Rapid lateral-flow immunochromatographic tests to assess anti N/S IgG seropositivity after BNT162b2 vaccine: A cross-sectional study: Rapid lateral-flow immunochromatographic tests after BNT162b2 vaccine.,article,,,
"It is currently unknown how post-COVID-19 syndrome (PCS) may affect those infected with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). This longitudinal study includes healthcare staff who tested positive for SARS-CoV-2 between March and April 2020, with follow-up of their antibody titers and symptoms. More than half (21 of 38) had PCS after 7-8 months. There was no statistically significant difference between initial reverse-transcription polymerase chain reaction titers or serial antibody levels between those who did and those who did not develop PCS. This study highlights the relative commonality of PCS in healthcare workers and this should be considered in vaccination scheduling and workforce planning to allow adequate frontline staffing numbers.","Pereira, Christopher; Harris, Benjamin H L; Di Giovannantonio, Matteo; Rosadas, Carolina; Short, Charlotte-Eve; Quinlan, Rachael; Sureda-Vives, Maci¨¤; Fernandez, Natalia; Day-Weber, Isaac; Khan, Maryam; Marchesin, Federica; Katsanovskaja, Ksenia; Parker, Eleanor; Taylor, Graham P; Tedder, Richard S; McClure, Myra O; Dani, Melanie; Fertleman, Michael",,MEDLINE,"Antibodies, Viral/biosynthesis; COVID-19/complications; Health Personnel; SARS-CoV-2/immunology; Adult; Aged; Anosmia; COVID-19/immunology; Cohort Studies; Fatigue; Female; Headache; Humans; Longitudinal Studies; Male; Middle Aged; Nasopharynx/virology; Respiratory Tract Diseases; Surveys and Questionnaires; Syndrome; United Kingdom; Young Adult",20210602.0,https://dx.doi.org/10.1093/infdis/jiab120,covidwho-1246720,1537-6613,10,J Infect Dis,en,US,2021.0,"J Infect Dis;223(10): 1671-1676, 2021 05 28. ",The Association Between Antibody Response to Severe Acute Respiratory Syndrome Coronavirus 2 Infection and Post-COVID-19 Syndrome in Healthcare Workers.,article,,,223
"BACKGROUND: Serological assays detecting anti-SARS-CoV-2 antibodies are being widely deployed in studies and clinical practice. However, the duration and effectiveness of the protection conferred by the immune response remains to be assessed in population-based samples. To estimate the incidence of newly acquired SARS-CoV-2 infections in seropositive individuals as compared to seronegative controls we conducted a retrospective longitudinal matched study. METHODS: A seroprevalence survey including a representative sample of the population was conducted in Geneva, Switzerland between April and June 2020, immediately after the first pandemic wave. Seropositive participants were matched one-to-two to seronegative controls, using a propensity-score including age, gender, immunodeficiency, BMI, smoking status and education level. Each individual was linked to a state-registry of SARS-CoV-2 infections. Our primary outcome was confirmed infections occurring from serological status assessment to the end of the second pandemic wave (January 2021). RESULTS: Among 8344 serosurvey participants, 498 seropositive individuals were selected and matched with 996 seronegative controls. After a mean follow-up of 35.6 (SD 3.2) weeks, 7 out of 498 (1.4%) seropositive subjects had a positive SARS-CoV-2 test, of whom 5 (1.0%) were classified as reinfections. In contrast, the infection rate was higher in seronegative individuals (15.5%, 154/996) during a similar follow-up period (mean 34.7 [SD 3.2] weeks), corresponding to a 94% (95%CI 86% to 98%, P&lt;0.001) reduction in the hazard of having a positive SARS-CoV-2 test for seropositives. CONCLUSIONS: Seroconversion after SARS-CoV-2 infection confers protection against reinfection lasting at least 8 months. These findings could help global health authorities establishing priority for vaccine allocation.","Leidi, Antonio; Koegler, Flora; Dumont, Roxane; Dubos, Richard; Zaballa, Mar¨ªa-Eugenia; Piumatti, Giovanni; Coen, Matteo; Berner, Amandine; Darbellay Farhoumand, Pauline; Vetter, Pauline; Vuilleumier, Nicolas; Kaiser, Laurent; Courvoisier, Delphine; Azman, Andrew S; Guessous, Idris; Stringhini, Silvia",,MEDLINE,,20210602.0,https://dx.doi.org/10.1093/cid/ciab495,covidwho-1246704,1537-6591,,Clin. infect. dis,en,US,2021.0,Clin Infect Dis;2021 May 27. ,Risk of reinfection after seroconversion to SARS-CoV-2: A population-based propensity-score matched cohort study.,article,,,
"Background: There are several COVID-19 vaccines available and many are under different stages of development. However, vaccine hesitancy, including vaccination delays and refusals, represents a major hurdle for achieving herd immunity. The current study aims to evaluate COVID-19 vaccine hesitancy and the associated factors.Method: This is a cross-sectional survey-based study that was conducted between Aug and Nov 2020.Results: There were 417 respondents with nearly 61% females, more than 65% fall between the ages of 18 and 29?years, three-quarters holding a university degree, with more than 63% identified as single, and those who have no children represented more than 67% of the respondents. More than 36% of the respondents considered themselves COVID-19 vaccine hesitant. COVID-19 vaccine hesitancy appeared to be high among female respondents (p =?.02), aged 30?years old and above (p &lt;?.001), widowed or divorced (p &lt;?.001) and those who have a child (p &lt;?.001). One of the most vaccine hesitancy influencing factors is the vaccines&#039; country of origin.Conclusion: There appears to be a high COVID-19 vaccine hesitancy among the participants with several associated factors. The current finding provides a knowledge base for policymakers for communication improvement and confidence-building in relation to COVID-19 vaccines and vaccination.","Issanov, Alpamys; Akhmetzhanova, Zylkiya; Riethmacher, Dieter; Aljofan, Mohamad",,MEDLINE,,20210602.0,https://dx.doi.org/10.1080/21645515.2021.1925054,covidwho-1246661,2164-554X,,Hum Vaccin Immunother,en,US,2021.0,"Hum Vaccin Immunother;: 1-7, 2021 May 27. ","Knowledge, attitude, and practice toward COVID-19 vaccination in Kazakhstan: a cross-sectional study.",article,,,
"Among health care professionals, dentists are more prone to infection due to their direct contact with blood and saliva. This study highlights the level of compliance with infection control measures among dental students; and linked this to their knowledge and attitudes regarding infection control measures and proper vaccinations. The study is a multi-centre analytical cross-sectional survey. The sample size was 969 clinical years&#039; students from governmental and private dental colleges in Sudan and Saudi Arabia. A pre-coded, pre-tested, and anonymous questionnaire consisted of seven categories of knowledge, attitude, awareness, and practices, including 40 questions, was answered. The study has linked knowledge, attitude, and practice in dental clinics with possible COVID-19 transmission in dental clinics. The results showed that the use of some Personal Protective Equipment was low in Sudan and moderate in Saudi Arabia (statistically significant, p &lt; 0.001). Moderate percentage of Hepatitis B vaccination status, with low percentage of Post HBV serology, was reported (p &lt; 0.001). The percentages of major causes of percutaneous and/or eye exposure/injury, for examples, were as follows: anesthesia (33.3-62.7%, p 0.006) and suture needle (17.5-39.4%, p 0.037). In conclusion, dental students in the present study had good knowledge and positive attitudes regarding infection control in general, but showed moderate compliance with the recommended infection control guidelines.","Elagib, Mohamed F A; Baldo, Sara M H; Tawfig, Ahmed; Alqarni, Mohammed A; Ghandour, I A; Idris, Abubakr M",,MEDLINE,,20210602.0,https://dx.doi.org/10.1080/19338244.2021.1931796,covidwho-1246645,2154-4700,,Arch Environ Occup Health,en,US,2021.0,"Arch Environ Occup Health;: 1-13, 2021 May 28. ","Knowledge, attitude, and practice regarding infection control measures among dental students during COVID-19 pandemic.",article,,,
"The coronavirus disease of 2019 (COVID-19) has caused a global pandemic and led to nearly three million deaths globally. As of April 2021, there are still many countries that do not have COVID-19 vaccines. Before the COVID-19 vaccines were developed, some evidence suggested that an influenza vaccine may stimulate nonspecific immune responses that reduce the risk of COVID-19 infection or the severity of COVID-19 illness after infection. This study evaluated the association between influenza vaccination and the risk of COVID-19 infection. We conducted a retrospective cross-sectional study with data from July 1, 2019, to June 30, 2020 with the Claims data from Symphony Health database. The study population was adults age 65 years old or older who received influenza vaccination between September 1 and December 31 of 2019. The main outcomes and measures were odds of COVID-19 infection and severe COVID-19 illness after January 15, 2020. We found the adjusted odds ratio (aOR) of COVID-19 infection risk between the influenza-vaccination group and no-influenza-vaccination group was 0.76 (95% confidence interval (CI), 0.75-0.77). Among COVID-19 patients, the aOR of developing severe COVID-19 illness was 0.72 (95% CI, 0.68-0.76) between the influenza-vaccination group and the no-influenza-vaccination group. When the influenza-vaccination group and the other-vaccination group were compared, the aOR of COVID-19 infection was 0.95 (95% CI, 0.93-0.97), and the aOR of developing a severe COVID-19 illness was 0.95 (95% CI, 0.80-1.13). The influenza vaccine may marginally protect people from COVID-19 infection.","Huang, Kelly; Lin, Shu-Wen; Sheng, Wang-Huei; Wang, Chi-Chuan",,MEDLINE,"COVID-19/immunology; Influenza A virus/physiology; Influenza Vaccines/immunology; Influenza, Human/immunology; SARS-CoV-2/physiology; Aged; Aged, 80 and over; COVID-19/epidemiology; Cross-Sectional Studies; Disease Progression; Female; Humans; Male; Odds Ratio; Pandemics; Retrospective Studies; Risk; United States/epidemiology; Vaccination",20210602.0,https://dx.doi.org/10.1038/s41598-021-90068-y,covidwho-1246385,2045-2322,1,Sci Rep,en,GB,2021.0,"Sci Rep;11(1): 11025, 2021 05 26. ",Influenza vaccination and the risk of COVID-19 infection and severe illness in older adults in the United States.,article,,,11
"OBJECTIVES: Hesitance and resistance to COVID-19 vaccination poses a serious challenge to achieving adequate vaccine uptake in the general population. Cross-sectional data from the early months of the pandemic indicates that approximately one-third of adults in multiple nations are hesitant or resistant to a vaccine for COVID-19. Using longitudinal data, we tracked changes in attitudes to COVID-19 vaccination during the pandemic. STUDY DESIGN: This is a quantitative, longitudinal design. METHOD: Nationally representative samples of the adult general population of the Republic of Ireland (N?=?1041) and the United Kingdom (N?=?2025) were assessed for their attitudes towards COVID-19 vaccination at three points from March to August 2020. RESULTS: Statistically significant increases in resistance to COVID-19 vaccination were observed in Irish (from 9.5% to 18.1%) and British (from 6.2% to 10%) adults. CONCLUSION: Resistance to vaccination has significantly increased in two European nations as the pandemic has progressed. Growing resistance to COVID-19 vaccination will pose a challenge to public health officials responsible for ensuring sufficient vaccine coverage.","Hyland, P; Valli¨¨res, F; Shevlin, M; Bentall, R P; McKay, R; Hartman, T K; McBride, O; Murphy, J",,MEDLINE,,20210602.0,https://dx.doi.org/10.1016/j.puhe.2021.04.009,covidwho-1246145,1476-5616,,Public Health,en,NL,2021.0,"Public Health;195: 54-56, 2021 Apr 27. ",Resistance to COVID-19 vaccination has increased in Ireland and the United Kingdom during the pandemic.,article,,,195
"Importance: The impact of COVID-19 in the US has been far-reaching and devastating, especially in Black populations. Vaccination is a critical part of controlling community spread, but vaccine acceptance has varied, with some research reporting that Black individuals in the US are less willing to be vaccinated than other racial/ethnic groups. Medical mistrust informed by experiences of racism may be associated with this lower willingness. Objective: To examine the association between race/ethnicity and rejection of COVID-19 vaccine trial participation and vaccine uptake and to investigate whether racial/ethnic group-based medical mistrust is a potential mediator of this association. Design, Setting, and Participants: This cross-sectional survey study was conducted from June to December 2020 using a convenience sample of 1835 adults aged 18 years or older residing in Michigan. Participants were recruited through community-based organizations and hospital-academic networks. Main Outcomes and Measures: Separate items assessed whether respondents, if asked, would agree to participate in a research study to test a COVID-19 vaccine or to receive a COVID-19 vaccine. Participants also completed the suspicion subscale of the Group-Based Medical Mistrust Scale. Results: Of the 1835 participants, 1455 (79%) were women, 361 (20%) men, and 19 (1%) other gender. The mean (SD) age was 49.4 (17.9) years, and 394 participants (21%) identified as Black individuals. Overall, 1376 participants (75%) reported low willingness to participate in vaccine trials, and 945 (52%) reported low willingness to be vaccinated. Black participants reported the highest medical mistrust scores (mean [SD], 2.35 [0.96]) compared with other racial/ethnic groups (mean [SD] for the total sample, 1.83 [0.91]). Analysis of path models revealed significantly greater vaccine trial and vaccine uptake rejection among Black participants (vaccine trial: B [SE], 0.51 [0.08]; vaccine uptake: B [SE], 0.51 [0.08]; both P &lt; .001) compared with the overall mean rejection. The association was partially mediated by medical mistrust among Black participants (vaccine trial: B [SE], 0.04 [0.01]; P = .003; vaccine uptake: B [SE], 0.07 [0.02]; P &lt; .001) and White participants (vaccine trial: B [SE], -0.06 [0.02]; P = .001; vaccine uptake: B [SE], -0.10 [0.02]; P &lt; .001). Conclusions and Relevance: In this survey study of US adults, racial/ethnic group-based medical mistrust partially mediated the association between individuals identifying as Black and low rates of acceptance of COVID-19 vaccine trial participation and actual vaccination. The findings suggest that partnerships between health care and other sectors to build trust and promote vaccination may benefit from socially and culturally responsive strategies that acknowledge and address racial/ethnic health care disparities and historical and contemporary experiences of racism.","Thompson, Hayley S; Manning, Mark; Mitchell, Jamie; Kim, Seongho; Harper, Felicity W K; Cresswell, Sheena; Johns, Kristopher; Pal, Shoma; Dowe, Brittany; Tariq, Madiha; Sayed, Nadia; Saigh, Lisa M; Rutledge, Lisa; Lipscomb, Curtis; Lilly, Jametta Y; Gustine, Heidi; Sanders, Annie; Landry, Megan; Marks, Bertram",,MEDLINE,COVID-19 Vaccines/therapeutic use; COVID-19/ethnology; Clinical Trials as Topic/psychology; Continental Population Groups/psychology; Trust; Vaccination Refusal/ethnology; Adolescent; Adult; African Americans/psychology; African Americans/statistics &amp;amp; numerical data; Aged; Asian Americans/psychology; Asian Americans/statistics &amp;amp; numerical data; Attitude to Health/ethnology; COVID-19/prevention &amp;amp; control; Continental Population Groups/statistics &amp;amp; numerical data; Cross-Sectional Studies; European Continental Ancestry Group/psychology; European Continental Ancestry Group/statistics &amp;amp; numerical data; Female; Hispanic Americans/psychology; Hispanic Americans/statistics &amp;amp; numerical data; Humans; Male; Michigan; Middle Aged; Patient Acceptance of Health Care/ethnology; Patient Acceptance of Health Care/psychology; Patient Acceptance of Health Care/statistics &amp;amp; numerical data; Trust/psychology; Vaccination Refusal/psychology; Vaccination Refusal/statistics &amp;amp; numerical data; Young Adult,20210602.0,https://dx.doi.org/10.1001/jamanetworkopen.2021.11629,covidwho-1245327,2574-3805,5,JAMA Netw Open,en,US,2021.0,"JAMA Netw Open;4(5): e2111629, 2021 05 03. ",Factors Associated With Racial/Ethnic Group-Based Medical Mistrust and Perspectives on COVID-19 Vaccine Trial Participation and Vaccine Uptake in the US.,article,,,4
"On December 31, 2019, an outbreak of lower respiratory infections was documented in Wuhan caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Since the beginning, SARS-CoV-2 has caused many infections among healthcare workers (HCWs) worldwide. Aims of this study were: a. to compare the distribution among the HCWs and the general population of SARS-CoV-2 infections in Western Sicily and Italy; b. to describe the characteristics of HCWs infected with SARS-CoV-2 in the western Sicilian healthcare context during the first wave of the epidemic diffusion in Italy. Incidence and mean age of HCWs infected with SARS-CoV-2 were comparable in Western Sicily and in the whole Italian country. The 97.6% of infections occurred in HCWs operating in non-coronavirus disease 2019 (COVID-19) working environments, while an equal distribution of cases between hospital and primary care services context was documented. Nurses and healthcare assistants, followed by physicians, were the categories more frequently infected by SARS-CoV-2. The present study suggests that healthcare workers are easily infected compared to the general population but that often infection could equally occur in hospital and non-hospital settings. Safety of HCWs in counteracting the COVID-19 pandemic must be strengthened in hospital [adequate provision of personal protective equipment (PPE), optimization of human resources, implementation of closed and independent groups of HCWs, creation of traffic control building and dedicated areas in every healthcare context] and non-hospital settings (influenza vaccination, adequate psychophysical support, including refreshments during working shifts, adequate rest, and family support).","Costantino, Claudio; Cannizzaro, Emanuele; Verso, Maria Gabriella; Tramuto, Fabio; Maida, Carmelo Massimo; Lacca, Guido; Alba, Davide; Cimino, Livia; Conforto, Arianna; Cirrincione, Luigi; Graziano, Giorgio; Palmeri, Sara; Pizzo, Stefano; Restivo, Vincenzo; Casuccio, Alessandra; Vitale, Francesco; Mazzucco, Walter",,MEDLINE,COVID-19; Pandemics; Cross-Sectional Studies; Delivery of Health Care; Health Personnel; Humans; SARS-CoV-2; Sicily/epidemiology,20210602.0,https://dx.doi.org/10.3389/fpubh.2021.644008,covidwho-1247942,2296-2565,,Front Public Health,en,CH,2021.0,"Front Public Health;9: 644008, 2021. ","SARS-CoV-2 Infection in Healthcare Professionals and General Population During &quot;First Wave&quot; of COVID-19 Pandemic: A Cross-Sectional Study Conducted in Sicily, Italy.",article,,,9
"BACKGROUND: The outbreak of coronavirus pandemic in Wuhan, China, since December 2019 has been the major public health concern. With the absence of an effective vaccine or treatment for the disease, current control measures are directed toward preventive measures to lessen disease burden and to curb the spread of the virus. AIM: The aim of the study was to assess knowledge, attitudes, perceptions, and practices (KAPP) of adult Egyptians toward COVID-19 and to study their determinants. METHODS: A community-based cross-sectional survey of a random sample of 999 Egyptian residence aged 16 years and above, it was conducted between April and June 2020 using self-administrated online questionnaire. It consisted of 15, five, and eight questions pertaining to knowledge, attitude, and practices toward COVID-19, respectively, in addition to demographic data. Data were analyzed using SPSS Statistics 23.0 at a level of significant at p ¡Ü 0.05. RESULTS: Out of the 999 participants, 628 (62.8%) were aged (20-&amp;lt;40y), 666 (66.7%) were females 576 (57.6) from urban residence, 665 (66.7%) were married with university educated or higher 605 (60.5%), and only 105 (10.5%) had chronic diseases. The total knowledge score was significantly higher among highly educated, females, in rural areas, married, and governmental workers, while higher educational status, females, married, smokers, and being without chronic diseases and governmental workers were significantly associated with higher practice scores. CONCLUSIONS: Egyptian participates had good level of knowledge, positive attitude about COVID-19 infection and, poor practice;however, community educational campaigns are necessary to ensure to improve on practice campaigns. ? 2021 Doaa I. Omar, Samar A. Amer.","Omar, D. I.; Amer, S. A.",,Scopus,,20210602.0,https://doi.org/10.3889/oamjms.2021.5797,covidwho-1248068,,E,Open Access Macedonian Journal of Medical Sciences,en,,2021.0,"Open Access Macedonian Journal of Medical Sciences; 9(E):250-259, 2021.","Egyptian public¡¯s knowledge, attitudes, perceptions, and practices toward covid-19 infection and their determinants. A cross-sectional study, 2020",article,,,9
"BACKGROUND: COVID-19 was first detected in Lebanon on February 21, 2020; it reached its peak in January 2021, with a total number of 418,448 confirmed cases and 5380 deaths (until March 15, 2021). Gaining insight into factors regarding willingness or refusal for vaccination might guide our goals in raising the awareness and target efforts to increase acceptance of the COVID-19 vaccine and maximize the uptake. Therefore, this study aims to assess the intent to receive the COVID-19 vaccine among Lebanese adults and the factors associated with vaccine refusal. METHODS: We conducted a cross-sectional study during November-December 2020 among Lebanese adults from all Lebanese regions using a survey tool with closed-ended questions that included sociodemographic data and questions about vaccine hesitancy, knowledge, attitude, practice, and fear of COVID-19. We used the snowball technique to collect the data because of the COVID-19 imposed lockdown. RESULTS: Of the 579 participants, 21.4% were willing to receive the vaccine, 40.9% refused, and the remainder were unsure of their response. More vaccine hesitancy (adjusted odds ratio (aOR) = 1.06; 95% CI 1.03-1.09) was significantly associated with more odds of disagreeing/ strongly disagreeing on receiving the COVID-19 vaccine compared to being neutral. More vaccine hesitancy (aOR = 0.95; 95% CI 0.91-0.99), female gender compared to males (aOR = 0.53; 95% CI 0.32-0.87), and being married compared to single (aOR = 0.53; 95% CI 0.29-0.98) were significantly associated with lower odds of agreeing/strongly agreeing on receiving the COVID-19 vaccine compared to being neutral. CONCLUSION: Overall, our findings revealed a high percentage of people (40%) who strongly disagreed with receiving the vaccine, mainly females, married participants, and those who have a general vaccine hesitancy. Moreover, no significant association was found with knowledge, attitude, or prevention practice regarding COVID-19. Targeted efforts are necessary to increase acceptance of a COVID-19 vaccine among the Lebanese population to control the COVID-19 pandemic. Further studies with a larger sample size are warranted to validate our results and provide better insights into the underlying reasons for refusing vaccination.","Kasrine Al Halabi, Carina; Obeid, Sahar; Sacre, Hala; Akel, Marwan; Hallit, Rabih; Salameh, Pascale; Hallit, Souheil",,MEDLINE,COVID-19 Vaccines; COVID-19; Adult; Attitude; Communicable Disease Control; Cross-Sectional Studies; Female; Humans; Lebanon; Male; Pandemics; SARS-CoV-2; Vaccination,20210601.0,https://dx.doi.org/10.1186/s12889-021-10902-w,covidwho-1244916,1471-2458,1,BMC Public Health,en,GB,2021.0,"BMC Public Health;21(1): 998, 2021 05 27. ",Attitudes of Lebanese adults regarding COVID-19 vaccination.,article,,,21
"This study aims to evaluate acceptance of COVID-19 vaccines and the impact of risk perception on vaccine acceptance and personal health protective behaviors in Taiwan. A nationwide cross-sectional study was conducted from 19 to 30 October 2020; 1020 participants were included in the final analysis; chi-square and logistic regression analyses were conducted. In total, 52.7% of participants were willing to receive COVID-19 vaccines, 63.5% perceived the severity of COVID-19 in Taiwan as &quot;not serious&quot;, and nearly 40% were worried about COVID-19 infection. Participants with higher perceived severity of COVID-19 had significantly higher odds of refusing the vaccine (OR = 1.546), while those worried about infection had lower odds of poor health protective behaviors (OR = 0.685). Vaccine refusal reasons included &quot;the EUA process is not strict enough&quot; (48.7%) and &quot;side effects&quot; (30.3%). Those who had previously refused other vaccinations were 2.44 times more likely to refuse the COVID-19 vaccines. Participants&#039; age had an influence on COVID-19 vaccine acceptance. In general, the Taiwanese public&#039;s acceptance of the vaccine was lower than that in other high-income countries. Elderly participants and those with college-level education and above who had previously refused vaccines had lower willingness to receive a COVID-19 vaccine. Risk perception was positively associated with personal health protective behaviors but negatively associated with COVID-19 vaccine acceptance.","Tsai, Feng-Jen; Yang, Hsiu-Wen; Lin, Chia-Ping; Liu, Jeffrey Zen",,MEDLINE,COVID-19 Vaccines; COVID-19; Adult; Aged; Cross-Sectional Studies; Humans; Perception; SARS-CoV-2; Taiwan; Vaccination,20210528.0,https://dx.doi.org/10.3390/ijerph18115579,covidwho-1244000,1660-4601,11,Int. j. environ. res. public health (Online),en,CH,2021.0,Int J Environ Res Public Health;18(11)2021 05 23. ,Acceptability of COVID-19 Vaccines and Protective Behavior among Adults in Taiwan: Associations between Risk Perception and Willingness to Vaccinate against COVID-19.,article,,,18
