 Abstract,Authors,DOI,Database,Descriptor(s),Entry Date,Fulltext URL,ID,ISSN,Issue number,Journal,Language,Publication Country,Publication year,Source,Title,Type,Unnamed: 18,Unnamed: 19,Volume number,paper_type,cross_type,long_type
"The recent outbreak of coronavirus disease 2019 (COVID-19) is the worst global crisis after World War II. Since the vaccine trials are still ongoing, the national lockdowns have been the most effective way to contain its spread. The pandemic has been extremely stressful and full of anxiety for those with comorbidities as they are the most vulnerable to the COVID-19 infections. Various efforts to assess and enhance the knowledge, attitudes, and practice, especially the high-risk groups, are critical to managing the COVID-19 pandemic successfully. A cross-sectional online survey was carried out using a self-designed questionnaire. A total of 383 participants who were 30 years or older, with at least one comorbidity, were included in the study. The mean age of the participants was 50.63?¨¤11.83 years. The most common comorbidities among the included participants were hypertension, followed by diabetes mellitus and thyroid disorders (48.5%, 44.7% and 23.3%, respectively). Our study also showed the education (p=0.004) and occupation (p=0.04) had a significant association with the attitude and practices towards the COVID-19 pandemic. In conclusion, our study showed that a high level of knowledge, attitude, and practices are the backbone to combat a global crisis like COVID-19.","Saeed, Shazina; Awasthi, Aanchal Anant; Nandi, Dhruv; Kaur, Karunanidhi; Hasan, Shamimul; Janardhanan, Rajiv",,MEDLINE,"COVID-19/epidemiology; Comorbidity; Health Knowledge, Attitudes, Practice; Adult; Anxiety Disorders/epidemiology; COVID-19/virology; Cross-Sectional Studies; Educational Status; Female; Humans; Male; Middle Aged; Pandemics/prevention &amp;amp; control; SARS-CoV-2/physiology; Surveys and Questionnaires",20210611,https://dx.doi.org/10.25122/jml-2020-0184,covidwho-1262735,1844-3117,2,J Med Life,en,RO,2021,"J Med Life;14(2): 225-237, 2021. ","Knowledge, attitude and practice towards COVID-19 among individuals with associated comorbidities.",article,,,14,online,1,0
"Since the SARS-CoV-2 virus caused a global pandemic, the amount of misinformation in various media outlets has been on the rise. This has caused confusion among both healthcare workers and the general population about what the proper precautions against COVID-19 are. This study investigated attitudes towards misinformation related to protective measures that can be taken against COVID-19. The study was conducted in Saudi Arabia using an online survey questionnaire during the first three months of lockdown responding to the pandemic. The sample size of the study was N = 1294, of which 275 were healthcare workers and 974 were non-healthcare workers. The findings indicate that the Saudi Arabian population has a &quot;Neutral&quot; attitude towards COVID-19-related misinformation, meaning that, overall, they neither agree nor disagree with the most common COVID-19-related misinformation. Both healthcare workers and non-healthcare workers displayed a &quot;Neutral&quot; attitude towards herbal remedies for COVID-19. The level of agreement regarding the SARS-CoV-2 virus remaining in the throat for two days and the BCG vaccine protecting against COVID-19 was low. The findings of this research imply that knowledge dissemination is severely lacking in Saudi Arabia and that the Ministry of Health in Saudi Arabia should sincerely consider educating healthcare workers better about verified and true information regarding COVID-19. Conclusion: Future research should include larger sample sizes for each of the healthcare specialties surveyed in this study and analyse their attitudes towards COVID-19 misinformation.","Alotiby, Amna Abdullah; Al-Harbi, Laila Naif",,MEDLINE,,20210609,https://dx.doi.org/10.3390/ijerph18116123,covidwho-1259495,1660-4601,11,Int. j. environ. res. public health (Online),en,CH,2021,Int J Environ Res Public Health;18(11)2021 Jun 06. ,Attitudes towards COVID-19-Related Medical Misinformation among Healthcare Workers and Non-Healthcare Workers in Saudi Arabia during the Pandemic: An Online Cross-Sectional Survey.,article,,,18,online,1,0
"This cross-sectional study aimed to measure the awareness, and attitude towards COVID-19 disease as well as new vaccine acceptance, among health field community (healthcare workers, health fields teaching staff and students) at the University of Jeddah, Jeddah Saudi Arabia. The questionnaire was designed in English language and included a set of 44 multiple-choice close-ended questions that covered demographic profile of participants, awareness of symptoms and practice against COVID-19. It also included a set of questions that attempted to investigate the attitudes and perceptions towards the uptake of vaccine. Out of the total 186 who participated in this study, 48.4% were 24 years old or younger and 55.9% were health field students. The results showed that majority of participants were aware of most common symptoms and causes of COVID-19 and had positive attitude toward the protective measures against the disease. Regarding the acceptability of vaccination against COVID-19, around 44% of the total participants showed hesitancy to uptake the vaccine of whom, 68.3% were concerned about the adverse effects of the vaccine. Significant differences were found between gender and current position at university of Jeddah in term of vaccine acceptance with p-values of &amp;lt; 0.001. Despite this high level of awareness, health field community at the university of Jeddah have medium acceptance level of disease vaccine. Thus, health educational programs are important to increase the acceptance level among such societies which will contribute to increase the acceptance level among the whole society. [ABSTRACT FROM AUTHOR] Copyright of Journal of Pure &amp; Applied Microbiology is the property of Dr. M. N. Khan and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder&#039;s express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","Hershan, Almonther A.",,Academic Search Complete,,20210609,https://doi.org/10.22207/JPAM.15.2.02,covidwho-1259826,,2,Journal of Pure &amp; Applied Microbiology,en,,2021,"Journal of Pure &amp; Applied Microbiology; 15(2):604-612, 2021.","Awareness of COVID-19, Protective Measures and Attitude Towards Vaccination among University of Jeddah Health Field Community: A Questionnaire-Based Study",article,,,15,online,1,0
"Introduction: Understanding suburban, Kansas parental attitudes and adherence of recommended childhood vaccination schedules adopts a new level of importance in the era of the SARS-CoV-2019 (COVID-19) pandemic. With hopes for release of a safe and effective COVID-19 vaccine underway, understanding parental perception of vaccines is important to design successful vaccination interventions. Methods: A web-based, cross-sectional survey was administered to approximately 900 parents in Johnson County, Kansas during the summer of 2020. Pearson chi square and Mann-Whitney U tests were utilized to assess the attitudes of Kansas parents towards a potential addition of the influenza vaccine to the required list for K-12 students and furthermore, their general perception of vaccinations, and the impact of COVID-19 on those beliefs. Results: A total of 179 parents responded. Fifty-one percent (n = 92) were in favor of adding the influenza vaccine to the mandatory list (Pro-Addition). Anti-Addition parents had significantly higher levels of distrust (2.1, p &amp;lt; 0.001) and were significantly more concerned about vaccine adverse effects. When presented with a hypothetical situation in which a &quot;safe and effective&quot; COVID-19 vaccine was available, 24% of Anti-Addition parents indicated they would receive the vaccine or obtain it for their children (21 people, p &amp;lt; 0.001). Conclusions: Kansas suburban parents were split on their attitudes towards the addition of the influenza vaccine to the required list for children and the effects of the pandemic. Follow-up qualitative studies of Anti-Addition parents are critical for successful vaccine distribution and coverage in the communities.","Beatty, S. D.; Villwock, J.",,MEDLINE,,20210609,https://doi.org/10.17161/kjm.vol1414843,covidwho-1259788,,,Kansas Journal of Medicine,en,,2021,"Kansas Journal of Medicine; 14:116-120, 2021.",Attitudes of Suburban Kansan Parents Regarding School-Required Immunizations and the Influences of the Coronavirus Pandemic,article,,,14,online,1,0
"Oman is globally acknowledged for its well-structured immunization program with high vaccination coverage. The massive spread of misinformation brought on by the COVID-19 pandemic, as well as the easy access to various media channels, may affect acceptance of a vaccine, despite the inherent trust in the local system. This cross-sectional study evaluated the knowledge, attitudes, and practice (KAP) in Oman toward COVID-19 vaccines. It included 3000 randomly selected adults answering a structured questionnaire via telephone. Participants were 66.7% Omani, 76% male, and 83.7% without comorbidities. Their mean age was 38.27 years (SD ?¨¤ 10.45). Knowledge of COVID-19??s symptoms, mode of transmission, and attitudes toward the disease was adequate;88.4% had heard of the vaccine, 59.3% would advise others to take it, 56.8% would take it themselves, and 47.5% would take a second dose. Males (CI = 2.37, OR = (2.00¡§C2.81)) and non-Omanis (CI = 0.49, OR = (0.42¡§C0.57)) were more willing to be vaccinated. The history of chronic disease, source of vaccine knowledge, and education level were factors that affected the willingness to accept the vaccine. The Omani community?¡¥s willingness to take the COVID-19 vaccine can be enhanced by utilizing social media and community influencers to spread awareness about the vaccine?¡¥s safety and efficacy.","Al-Marshoudi, Sabria, Al-Balushi, Haleema, Al-Wahaibi, Adil, Al-Khalili, Sulien, Al-Maani, Amal, Al-Farsi, Noura, Al-Jahwari, Adhari, Al-Habsi, Zeyana, Al-Shaibi, Maryam, Al-Msharfi, Mahfoodh, Al-Ismaili, Ahlam, Al-Buloshi, Hood, Al-Rawahi, Bader, Al-Barwani, Khalifa, Al-Abri, Seif",,MDPI,,20210609,https://doi.org/10.3390/vaccines9060602,covidwho-1259644,,6,Vaccines,en,,2021,"Vaccines; 9(6):602, 2021.","Knowledge, Attitudes, and Practices (KAP) toward the COVID-19 Vaccine in Oman: A Pre-Campaign Cross-Sectional Study",article,,,9,offline,1,0
"Few studies have assessed attitudes and beliefs of school teachers on vaccination. Our cross-sectional questionnaire-based prospective survey aims to explore vaccination coverage and relevant knowledge of school teachers in Greece. Out of the 217 respondents, 93% believe that vaccines offer protection but only 69.7% were completely vaccinated as per adults&#039; National Immunization Schedule. In multivariate analysis, female gender, being a parent, beliefs that vaccination should be mandatory and imposing penalties to vaccine refusals are the main factors that account for teachers&#039; &quot;behavioral&quot; variability towards vaccination. Strengthening the training of school teachers in health promotion should become a priority in the era of the highly anticipated vaccine against severe acute respiratory syndrome-coronavirus-2 (SARS-CoV-2).","Gkentzi, Despoina; Benetatou, Eleni; Karatza, Ageliki; Marangos, Markos; Varvarigou, Anastasia; Dimitriou, Gabriel",,MEDLINE,,20210608,https://dx.doi.org/10.3947/ic.2020.0153,covidwho-1256740,2093-2340,2,Infect Chemother,en,KR,2021,"Infect Chemother;53(2): 364-367, 2021 Jun. ",Knowledge and Attitudes of School Teachers on Vaccination in Greece.,article,,,53,offline,1,0
"BACKGROUND: Parental attitudes towards the vaccines play a key role in the success of the herd immunity for the COVID-19. Psychological health seems to be a controversial determinant of vaccine hesitancy and remains to be investigated. This study attempted to measure parental psychological distress, attitudes towards the COVID-19 vaccine, and to explore the potential associations. METHODS: An online survey using convenience sampling method was conducted among parents within the school public health network of Shenzhen. Demographic information and attitudes towards COVID-19 vaccination were collected. The Patient Health Questionnaire (PHQ-4) was applied to measure psychological distress. RESULTS: Overall, 4,748 parents were included (average age: 40.28, standard deviation: 5.08). More than one fifth of them demonstrated psychological distress, in which only 3.3% were moderate to severe symptom. The proportions of COVID-19 vaccine hesitancy for themselves, their spouses, and their children were 25.2%, 26.1%, and 27.3%, respectively. Parents with psychological distress were more likely to suffer vaccine hesitancy for themselves (OR: 1.277, 95%CI: 1.091~1.494), for their spouses (OR:1.276, 95%CI: 1.088~1.496) and children (OR:1.274, 95%CI: 1.092~1.486). These associations tended to be more significant among parents with mild or severe psychological distress. LIMITATION: Non-random sampling limited the generalization of our findings to all parents. CONCLUSION: Parents had a low level of psychological distress but relatively high willingness of COVID-19 vaccination when there was no local epidemic but persistent risk of imported cases. Targeted health education and intervention strategies should be provided to people with vaccine hesitancy, especially for those who are susceptible to psychological distress.","Xu, Yucheng; Zhang, Ruiyin; Zhou, Zhifeng; Fan, Jingjie; Liang, Jing; Cai, Lin; Peng, Lin; Ren, Fangmei; Lin, Wei",,MEDLINE,,20210608,https://dx.doi.org/10.1016/j.jad.2021.06.003,covidwho-1253109,1573-2517,,J Affect Disord,en,NL,2021,"J Affect Disord;292: 552-558, 2021 Jun 06. ","Parental psychological distress and attitudes towards COVID-19 vaccination: A cross-sectional survey in Shenzhen, China.",article,,,292,online,1,0
"Objectives: Young adults are essential to the effective mitigation of the novel coronavirus (SARS-CoV-2/COVID-19) given their tendency toward greater frequency of social interactions. Little is known about vaccine willingness during pandemics in European populations. This study examined young people&#039;s attitudes toward COVID-19 vaccines in Fall 2020. Methods: Data came from an ongoing longitudinal study&#039;s online COVID-19-focused supplement among young adults aged 22 in Zurich, Switzerland (N = 499) in September 2020. Logistic regressions examined young adults&#039; likelihood of participating in COVID-19 immunization programs. Results: Approximately half of respondents reported being unlikely to get vaccinated against COVID-19. Compared to males, females were more likely to oppose COVID-19 vaccination (p &amp;lt; 0.05). In multivariate models, Sri Lankan maternal background and higher socioeconomic status were associated with a greater likelihood of getting vaccinated against COVID-19 (p &amp;lt; 0.05). Respondents were more likely to report a willingness to get vaccinated against COVID-19 when they perceived 1) an effective government response (p &amp;lt; 0.05) and 2) their information sources to be objective (p &amp;lt; 0.05). Conclusion: This study communicates aspects important to the development of targeted information campaigns to promote engagement in COVID-19 immunization efforts.","Leos-Toro, C.; Ribeaud, D.; Bechtiger, L.; Steinhoff, A.; Nivette, A.; Murray, A. L.; Hepp, U.; Quednow, B. B.; Eisner, M. P.; Shanahan, L.",,Web of Science,,20210608,https://doi.org/10.3389/ijph.2021.643486,covidwho-1256416,,,International Journal of Public Health,en,,2021,"International Journal of Public Health; 66:11, 2021.","Attitudes Toward COVID-19 Vaccination Among Young Adults in Zurich, Switzerland, September 2020",article,,,66,online,0,1
"Introduction: Although many vaccines are in development and clinical trials, and at least seven vaccines have been distributed worldwide, the world has faced a huge challenge in line with the willingness to accept a COVID-19 vaccine in a different country including Ethiopia. However, no study has been conducted on the knowledge, attitudes, acceptance, and determinates of COVID-19 vaccine acceptance in Ethiopia. Therefore, this study was aimed to investigate the knowledge, attitudes, acceptance, and determinants of acceptance of the COVID-19 vaccine among the adult population in Ethiopia. Methods: A community-based cross-sectional study was conducted among 492 study participants from March 1 to March 15, 2021. A multistage sampling technique was used to recruit study participants. Six skilled and qualified data collectors had participated to gather the data using a pretested structured-administered questionnaire. A multivariable logistic regression model was used to identify factors associated with the acceptance of the COVID-19 vaccine. P-value &amp;lt; 0.05 was considered to indicate statistically significant association. Results: This study revealed that the level of good knowledge, positive attitude and intention to accept the COVID-19 vaccine were 74%, 44.7%, and 62.6%, respectively. Moreover, having an age ?Y 46 years with an adjusted odds ratio of 2.36 [95% CI, 1.09¡§C 5.39], attended secondary and above education adjusted odds ratio 2.59 [95% CI, 1.52¡§C 4.39], having a chronic disease adjusted odds ratio of 3.14 [95% CI, 1.21¡§C 8.14], and having good knowledge about COVID-19 vaccine adjusted odds ratio 2.59 [95% CI, 1.67¡§C 4.02] were significantly associated with COVID-19 vaccine acceptance. Conclusion: In this study, the level of good knowledge, positive attitude, and intention to accept the COVID-19 vaccine were 74%, 44.7%, and 62.6%, respectively. Thus, health education and communication from government sources are very crucial methods to alleviate the negative attitude of the COVID-19 vaccine.","Abebe, Haimanot, Solomon, Shitu, Ayenew, Mose",,ProQuest Central,,20210608,https://doi.org/10.2147/IDR.S312116,covidwho-1256164,,,Infection and Drug Resistance,en,,2021,"Infection and Drug Resistance; 14:2015-2025, 2021.","Understanding of COVID-19 Vaccine Knowledge, Attitude, Acceptance, and Determinates of COVID-19 Vaccine Acceptance Among Adult Population in Ethiopia",article,,,14,offline,1,0
"Background: There are several COVID-19 vaccines available and many are under different stages of development. However, vaccine hesitancy, including vaccination delays and refusals, represents a major hurdle for achieving herd immunity. The current study aims to evaluate COVID-19 vaccine hesitancy and the associated factors.Method: This is a cross-sectional survey-based study that was conducted between Aug and Nov 2020.Results: There were 417 respondents with nearly 61% females, more than 65% fall between the ages of 18 and 29?years, three-quarters holding a university degree, with more than 63% identified as single, and those who have no children represented more than 67% of the respondents. More than 36% of the respondents considered themselves COVID-19 vaccine hesitant. COVID-19 vaccine hesitancy appeared to be high among female respondents (p =?.02), aged 30?years old and above (p &lt;?.001), widowed or divorced (p &lt;?.001) and those who have a child (p &lt;?.001). One of the most vaccine hesitancy influencing factors is the vaccines&#039; country of origin.Conclusion: There appears to be a high COVID-19 vaccine hesitancy among the participants with several associated factors. The current finding provides a knowledge base for policymakers for communication improvement and confidence-building in relation to COVID-19 vaccines and vaccination.","Issanov, Alpamys; Akhmetzhanova, Zylkiya; Riethmacher, Dieter; Aljofan, Mohamad",,MEDLINE,,20210602,https://dx.doi.org/10.1080/21645515.2021.1925054,covidwho-1246661,2164-554X,,Hum Vaccin Immunother,en,US,2021,"Hum Vaccin Immunother;: 1-7, 2021 May 27. ","Knowledge, attitude, and practice toward COVID-19 vaccination in Kazakhstan: a cross-sectional study.",article,,,,online,1,0
"Among health care professionals, dentists are more prone to infection due to their direct contact with blood and saliva. This study highlights the level of compliance with infection control measures among dental students; and linked this to their knowledge and attitudes regarding infection control measures and proper vaccinations. The study is a multi-centre analytical cross-sectional survey. The sample size was 969 clinical years&#039; students from governmental and private dental colleges in Sudan and Saudi Arabia. A pre-coded, pre-tested, and anonymous questionnaire consisted of seven categories of knowledge, attitude, awareness, and practices, including 40 questions, was answered. The study has linked knowledge, attitude, and practice in dental clinics with possible COVID-19 transmission in dental clinics. The results showed that the use of some Personal Protective Equipment was low in Sudan and moderate in Saudi Arabia (statistically significant, p &lt; 0.001). Moderate percentage of Hepatitis B vaccination status, with low percentage of Post HBV serology, was reported (p &lt; 0.001). The percentages of major causes of percutaneous and/or eye exposure/injury, for examples, were as follows: anesthesia (33.3-62.7%, p 0.006) and suture needle (17.5-39.4%, p 0.037). In conclusion, dental students in the present study had good knowledge and positive attitudes regarding infection control in general, but showed moderate compliance with the recommended infection control guidelines.","Elagib, Mohamed F A; Baldo, Sara M H; Tawfig, Ahmed; Alqarni, Mohammed A; Ghandour, I A; Idris, Abubakr M",,MEDLINE,,20210602,https://dx.doi.org/10.1080/19338244.2021.1931796,covidwho-1246645,2154-4700,,Arch Environ Occup Health,en,US,2021,"Arch Environ Occup Health;: 1-13, 2021 May 28. ","Knowledge, attitude, and practice regarding infection control measures among dental students during COVID-19 pandemic.",article,,,,offline,1,0
"BACKGROUND: The outbreak of coronavirus pandemic in Wuhan, China, since December 2019 has been the major public health concern. With the absence of an effective vaccine or treatment for the disease, current control measures are directed toward preventive measures to lessen disease burden and to curb the spread of the virus. AIM: The aim of the study was to assess knowledge, attitudes, perceptions, and practices (KAPP) of adult Egyptians toward COVID-19 and to study their determinants. METHODS: A community-based cross-sectional survey of a random sample of 999 Egyptian residence aged 16 years and above, it was conducted between April and June 2020 using self-administrated online questionnaire. It consisted of 15, five, and eight questions pertaining to knowledge, attitude, and practices toward COVID-19, respectively, in addition to demographic data. Data were analyzed using SPSS Statistics 23.0 at a level of significant at p ?¨¹ 0.05. RESULTS: Out of the 999 participants, 628 (62.8%) were aged (20-&amp;lt;40y), 666 (66.7%) were females 576 (57.6) from urban residence, 665 (66.7%) were married with university educated or higher 605 (60.5%), and only 105 (10.5%) had chronic diseases. The total knowledge score was significantly higher among highly educated, females, in rural areas, married, and governmental workers, while higher educational status, females, married, smokers, and being without chronic diseases and governmental workers were significantly associated with higher practice scores. CONCLUSIONS: Egyptian participates had good level of knowledge, positive attitude about COVID-19 infection and, poor practice;however, community educational campaigns are necessary to ensure to improve on practice campaigns. ? 2021 Doaa I. Omar, Samar A. Amer.","Omar, D. I.; Amer, S. A.",,Scopus,,20210602,https://doi.org/10.3889/oamjms.2021.5797,covidwho-1248068,,E,Open Access Macedonian Journal of Medical Sciences,en,,2021,"Open Access Macedonian Journal of Medical Sciences; 9(E):250-259, 2021.","Egyptian public?¡¥s knowledge, attitudes, perceptions, and practices toward covid-19 infection and their determinants. A cross-sectional study, 2020",article,,,9,online,1,0
"BACKGROUND: COVID-19 was first detected in Lebanon on February 21, 2020; it reached its peak in January 2021, with a total number of 418,448 confirmed cases and 5380 deaths (until March 15, 2021). Gaining insight into factors regarding willingness or refusal for vaccination might guide our goals in raising the awareness and target efforts to increase acceptance of the COVID-19 vaccine and maximize the uptake. Therefore, this study aims to assess the intent to receive the COVID-19 vaccine among Lebanese adults and the factors associated with vaccine refusal. METHODS: We conducted a cross-sectional study during November-December 2020 among Lebanese adults from all Lebanese regions using a survey tool with closed-ended questions that included sociodemographic data and questions about vaccine hesitancy, knowledge, attitude, practice, and fear of COVID-19. We used the snowball technique to collect the data because of the COVID-19 imposed lockdown. RESULTS: Of the 579 participants, 21.4% were willing to receive the vaccine, 40.9% refused, and the remainder were unsure of their response. More vaccine hesitancy (adjusted odds ratio (aOR) = 1.06; 95% CI 1.03-1.09) was significantly associated with more odds of disagreeing/ strongly disagreeing on receiving the COVID-19 vaccine compared to being neutral. More vaccine hesitancy (aOR = 0.95; 95% CI 0.91-0.99), female gender compared to males (aOR = 0.53; 95% CI 0.32-0.87), and being married compared to single (aOR = 0.53; 95% CI 0.29-0.98) were significantly associated with lower odds of agreeing/strongly agreeing on receiving the COVID-19 vaccine compared to being neutral. CONCLUSION: Overall, our findings revealed a high percentage of people (40%) who strongly disagreed with receiving the vaccine, mainly females, married participants, and those who have a general vaccine hesitancy. Moreover, no significant association was found with knowledge, attitude, or prevention practice regarding COVID-19. Targeted efforts are necessary to increase acceptance of a COVID-19 vaccine among the Lebanese population to control the COVID-19 pandemic. Further studies with a larger sample size are warranted to validate our results and provide better insights into the underlying reasons for refusing vaccination.","Kasrine Al Halabi, Carina; Obeid, Sahar; Sacre, Hala; Akel, Marwan; Hallit, Rabih; Salameh, Pascale; Hallit, Souheil",,MEDLINE,COVID-19 Vaccines; COVID-19; Adult; Attitude; Communicable Disease Control; Cross-Sectional Studies; Female; Humans; Lebanon; Male; Pandemics; SARS-CoV-2; Vaccination,20210601,https://dx.doi.org/10.1186/s12889-021-10902-w,covidwho-1244916,1471-2458,1,BMC Public Health,en,GB,2021,"BMC Public Health;21(1): 998, 2021 05 27. ",Attitudes of Lebanese adults regarding COVID-19 vaccination.,article,,,21,online,1,0
"BACKGROUND: This study determined the knowledge, attitudes, and practice regarding COVID-19 and assessed the acceptance of the COVID-19 vaccine among healthcare workers and the general population. METHODS: A web-based, cross-sectional study was conducted using convenience sampling in Libya from December 1 to 18, 2020 among the general population and healthcare workers. Data on demographic characteristics, COVID-19 vaccination-related concerns, knowledge, attitudes, and practice regarding COVID-19, and knowledge, attitudes, and acceptance regarding the COVID-19 vaccine were collected using a self-administered survey. A binomial logistic regression was performed with 70% efficacy to determine the association between acceptance of the vaccine and study variables. RESULTS: Valid and complete responses were collected from 15,087 participants. Of these, 6227 (41.3%) were male and 8860 (58.7%) were female, with a mean (SD) age of 30.6 ?¨¤ 9.8 years. Moreover, 485 (3.2%) participants were infected with COVID-19 at the time of the study, while 2000 (13.3%) had been previously infected. Overall, 2452 (16.3%) participants agreed, and 3127 (20.7%) strongly agreed, with &quot;having concerns about serious vaccine-related complications.&quot; Mask-wearing adherence was reported by 10,268 (68.1%) of the participants. Most participants (14,050, 93.1%) believed that the vaccine should be provided for free, while 7272 (48.2%) were willing to buy it. Regarding vaccine acceptance and efficacy, 12,006 (79.6%) reported their willingness to take the vaccine with an efficacy of 90% or more, 9143 (60.6%) with an efficacy of 70% or more, and only 6212 (41.2%) with an efficacy of 50%. The binomial logistic regression revealed that vaccine acceptance was not associated with belonging to the medical field versus the general population. Acceptance was statistically associated with younger age groups, especially 31-40 (OR = 1.3 [1.09, 1.55]) and 41-50 years (OR = 1.29, [1.09, 1.54]). However, having a family member or friend infected with COVID-19 was positively associated with the likelihood of vaccine acceptance (OR = 1.09 [1.02, 1.18]), while having a friend or family member who died due to COVID-19 was negatively associated with it (OR = 0.89 [0.84, 0.97]). CONCLUSIONS: Acceptance of the COVID-19 vaccine is an essential determinant of vaccine uptake and the likelihood of controlling the COVID-19 pandemic. Developing strategies to decrease public hesitation and increase trust is vital for implementing vaccination programs.","Elhadi, Muhammed; Alsoufi, Ahmed; Alhadi, Abdulmueti; Hmeida, Amel; Alshareea, Entisar; Dokali, Mawadda; Abodabos, Sanabel; Alsadiq, Omaymah; Abdelkabir, Mohammed; Ashini, Aimen; Shaban, Abdulhamid; Mohammed, Saja; Alghudban, Nehal; Bureziza, Eman; Najah, Qasi; Abdulrahman, Khawla; Mshareb, Nora; Derwish, Khawla; Shnfier, Najwa; Burkan, Rayan; Al-Azomi, Marwa; Hamdan, Ayman; Algathafi, Khadeejah; Abdulwahed, Eman; Alheerish, Khadeejah; Lindi, Naeimah; Anaiba, Mohamed; Elbarouni, Abobaker; Alsharif, Monther; Alhaddad, Kamal; Alwhishi, Enas; Aboughuffah, Muad; Aljadidi, Wesal; Jaafari, Aisha; Khaled, Ala; Zaid, Ahmed; Msherghi, Ahmed",,MEDLINE,"COVID-19 Vaccines; COVID-19; Adult; Cross-Sectional Studies; Female; Health Knowledge, Attitudes, Practice; Health Personnel; Humans; Libya; Male; Pandemics; SARS-CoV-2; Surveys and Questionnaires; Young Adult",20210525,https://dx.doi.org/10.1186/s12889-021-10987-3,covidwho-1238715,1471-2458,1,BMC Public Health,en,GB,2021,"BMC Public Health;21(1): 955, 2021 05 20. ","Knowledge, attitude, and acceptance of healthcare workers and the public regarding the COVID-19 vaccine: a cross-sectional study.",article,,,21,online,1,0
"The coronavirus disease 2019 (COVID-19) pandemic introduced a set of mitigation measures based on personal behavior and attitudes. In the absence of vaccination or specific treatment, it became essential to comply with these measures to reduce infection transmission. Health literacy is the basis for changing behaviors. AIM: To characterize the impact of literacy on knowledge and attitudes towards preventive strategies against COVID-19. METHODS: This cross-sectional study involved an online questionnaire applied to students of the University of Porto, Portugal, containing questions about knowledge and attitudes towards COVID-19 based on European guidelines. Health literacy was assessed through the Newest Vital Sign questionnaire. Logistic regression estimated the relationship between health literacy and both knowledge and attitudes. RESULTS: We included 871 participants (76.3% female), with a median age of 22 years old. We found adequate literacy in 92% of our sample, irrespective of gender and age. In the global analysis, 78.6% of the participants had adequate knowledge, and 90.4% had adequate attitudes. We found that better literacy was significantly associated with attitudes towards COVID-19, but not with better knowledge. In a model adjusted for gender, age, and previous education in the health field, female gender and previous education in the health field were associated with better knowledge and attitudes. CONCLUSION: Better health literacy is associated with better attitudes towards preventive strategies against COVID-19. We should invest in ways to improve health literacy, so we can improve people&#039;s attitudes and consequently reduce coronavirus&#039; transmission.","Silva, Maria Jo?o; Santos, Paulo",,MEDLINE,"COVID-19; Health Literacy; Adult; Cross-Sectional Studies; Female; Health Knowledge, Attitudes, Practice; Humans; Male; Portugal; SARS-CoV-2; Surveys and Questionnaires; Young Adult",20210521,https://dx.doi.org/10.3390/ijerph18105421,covidwho-1234737,1660-4601,10,Int. j. environ. res. public health (Online),en,CH,2021,Int J Environ Res Public Health;18(10)2021 05 19. ,The Impact of Health Literacy on Knowledge and Attitudes towards Preventive Strategies against COVID-19: A Cross-Sectional Study.,article,,,18,online,1,0
"INTRODUCTION: This study aimed to evaluate the parents&#039; willingness and attitudes concerning the COVID-19 vaccine. METHOD: This cross-sectional study was performed using a self-administered online survey, covering parents&#039; and their children&#039;s characteristics, parents&#039; willingness and attitudes towards the COVID-19 vaccine. A total of 1035 parents participated. RESULTS: Analysis showed that 36.3% of parents were willing to have their children receive the COVID-19 vaccine and that 59.9% were willing to receive it themselves. In addition, 83.9% were willing to have their children vaccinated with the COVID-19 vaccine if the mortality rates associated with COVID-19 in children increased following a mutation. After adjusting for significant variables, willingness to receive the COVID-19 vaccine (AOR?=?24.91; 95% CI?=?10.93-56.76), willingness for their children to participate in a COVID-19 vaccine trial (AOR?=?11a??.87; 95% CI?=?2.41-58.40] and advising others to receive the COVID-19 vaccine [AOR?=?7.82; 95% CI?=?2.50-24.49] were associated with greater parents&#039; willingness for their children to receive the COVID-19 vaccine. CONCLUSIONS: Parents&#039; willingness for their children to receive the COVID-19 vaccine was low. The only characteristics of either parents or children found to affect the parents&#039; willingness for children to receive the COVID-19 vaccine was the parents being healthcare workers. Parents&#039; willingness and positive attitudes towards the COVID-19 vaccine are factors that increase acceptance of the COVID-19 vaccine for their children.","Yilmaz, Meltem; Sahin, Mustafa Kursat",,MEDLINE,,20210519,https://dx.doi.org/10.1111/ijcp.14364,covidwho-1231124,1742-1241,,Int J Clin Pract,en,GB,2021,"Int J Clin Pract;: e14364, 2021 May 16. ",Parents&#039; willingness and attitudes concerning the COVID-19 vaccine: A cross-sectional study.,article,,,,online,1,0
